Years to maturity,1,2,3,4,5,7,9,10,15,20,30,0.08333333333,0.25,0.5,1,2,3,4,5,7,10,0.08333333333,0.25,1,2,3,4,5,6,7,8,9,10,20,30,0.08333333333,0.25,1,2,3,4,5,7,10,20,30,0.08333333333,0.25,0.5,1,2,3,4,5,7,10,20,30,0.08333333333,0.25,0.5,1,2,3,4,5,6,7,8,9,10,15,20,25,30,0.08333333333,0.25,0.5,1,2,3,4,5,6,7,8,9,10,12,15,20,25,30,50,0.25,0.5,1,2,5,7,10,11,20,25,0.25,0.5,1,2,3,4,5,6,7,8,9,10,15,20,25,30,40,0.08333333333,0.25,0.5,1,2,3,4,5,7,10,20,30,0.08333333333,0.1666666667,0.25,0.3333333333,0.5,1,2,3,5,7,10,20,30
Date code,1Y,2Y,3Y,4Y,5Y,7Y,9Y,10Y,15Y,20Y,30Y,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,1M,3M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,20Y,30Y,1M,3M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y,50Y,3M,6M,1Y,2Y,5Y,7Y,10Y,11Y,20Y,25Y,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y,40Y,1M,3M,6M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,20Y,30Y,1M,2M,3M,4M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
Country Code,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,AU,BR,BR,BR,BR,BR,BR,BR,BR,BR,BR,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CA,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CN,CN,CN,CN,CN,CN,CN,CN,CN,CN,CN,CN,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,GB,IN,IN,IN,IN,IN,IN,IN,IN,IN,IN,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,JP,MX,MX,MX,MX,MX,MX,MX,MX,MX,MX,MX,MX,US,US,US,US,US,US,US,US,US,US,US,US,US
,U1Y-FDS,U2Y-FDS,U3Y-FDS,U4Y-FDS,U5Y-FDS,U7Y-FDS,U9Y-FDS,10Y-FDS,15Y-FDS,20Y-FDS,30Y-FDS,R1M-FDS,R3M-FDS,R6M-FDS,R1Y-FDS,R2Y-FDS,R3Y-FDS,R4Y-FDS,R5Y-FDS,R7Y-FDS,10Y-FDS,A1M-FDS,A3M-FDS,A1Y-FDS,A2Y-FDS,A3Y-FDS,A4Y-FDS,A5Y-FDS,A6Y-FDS,A7Y-FDS,A8Y-FDS,A9Y-FDS,10Y-FDS,20Y-FDS,30Y-FDS,H1M-FDS,H3M-FDS,H1Y-FDS,H2Y-FDS,H3Y-FDS,H4Y-FDS,H5Y-FDS,H7Y-FDS,10Y-FDS,20Y-FDS,30Y-FDS,N1M-FDS,N3M-FDS,N6M-FDS,N1Y-FDS,N2Y-FDS,N3Y-FDS,N4Y-FDS,N5Y-FDS,N7Y-FDS,10Y-FDS,20Y-FDS,30Y-FDS,U1M-FDS,U3M-FDS,U6M-FDS,U1Y-FDS,U2Y-FDS,U3Y-FDS,U4Y-FDS,U5Y-FDS,U6Y-FDS,U7Y-FDS,U8Y-FDS,U9Y-FDS,10Y-FDS,15Y-FDS,20Y-FDS,25Y-FDS,30Y-FDS,B1M-FDS,B3M-FDS,B6M-FDS,B1Y-FDS,B2Y-FDS,B3Y-FDS,B4Y-FDS,B5Y-FDS,B6Y-FDS,B7Y-FDS,B8Y-FDS,B9Y-FDS,10Y-FDS,12Y-FDS,15Y-FDS,20Y-FDS,25Y-FDS,30Y-FDS,50Y-FDS,N3M-FDS,N6M-FDS,N1Y-FDS,N2Y-FDS,N5Y-FDS,N7Y-FDS,10Y-FDS,11Y-FDS,20Y-FDS,25Y-FDS,P3M-FDS,P6M-FDS,P1Y-FDS,P2Y-FDS,P3Y-FDS,P4Y-FDS,P5Y-FDS,P6Y-FDS,P7Y-FDS,P8Y-FDS,P9Y-FDS,10Y-FDS,15Y-FDS,20Y-FDS,25Y-FDS,30Y-FDS,40Y-FDS,X1M-FDS,X3M-FDS,X6M-FDS,X1Y-FDS,X2Y-FDS,X3Y-FDS,X4Y-FDS,X5Y-FDS,X7Y-FDS,10Y-FDS,20Y-FDS,30Y-FDS,S1M-FDS,S2M-FDS,S3M-FDS,S4M-FDS,S6M-FDS,S1Y-FDS,S2Y-FDS,S3Y-FDS,S5Y-FDS,S7Y-FDS,10Y-FDS,20Y-FDS,30Y-FDS
FDS code,TRYAU1Y-FDS,TRYAU2Y-FDS,TRYAU3Y-FDS,TRYAU4Y-FDS,TRYAU5Y-FDS,TRYAU7Y-FDS,TRYAU9Y-FDS,TRYAU10Y-FDS,TRYAU15Y-FDS,TRYAU20Y-FDS,TRYAU30Y-FDS,TRYBR1M-FDS,TRYBR3M-FDS,TRYBR6M-FDS,TRYBR1Y-FDS,TRYBR2Y-FDS,TRYBR3Y-FDS,TRYBR4Y-FDS,TRYBR5Y-FDS,TRYBR7Y-FDS,TRYBR10Y-FDS,TRYCA1M-FDS,TRYCA3M-FDS,TRYCA1Y-FDS,TRYCA2Y-FDS,TRYCA3Y-FDS,TRYCA4Y-FDS,TRYCA5Y-FDS,TRYCA6Y-FDS,TRYCA7Y-FDS,TRYCA8Y-FDS,TRYCA9Y-FDS,TRYCA10Y-FDS,TRYCA20Y-FDS,TRYCA30Y-FDS,TRYCH1M-FDS,TRYCH3M-FDS,TRYCH1Y-FDS,TRYCH2Y-FDS,TRYCH3Y-FDS,TRYCH4Y-FDS,TRYCH5Y-FDS,TRYCH7Y-FDS,TRYCH10Y-FDS,TRYCH20Y-FDS,TRYCH30Y-FDS,TRYCN1M-FDS,TRYCN3M-FDS,TRYCN6M-FDS,TRYCN1Y-FDS,TRYCN2Y-FDS,TRYCN3Y-FDS,TRYCN4Y-FDS,TRYCN5Y-FDS,TRYCN7Y-FDS,TRYCN10Y-FDS,TRYCN20Y-FDS,TRYCN30Y-FDS,TRYEU1M-FDS,TRYEU3M-FDS,TRYEU6M-FDS,TRYEU1Y-FDS,TRYEU2Y-FDS,TRYEU3Y-FDS,TRYEU4Y-FDS,TRYEU5Y-FDS,TRYEU6Y-FDS,TRYEU7Y-FDS,TRYEU8Y-FDS,TRYEU9Y-FDS,TRYEU10Y-FDS,TRYEU15Y-FDS,TRYEU20Y-FDS,TRYEU25Y-FDS,TRYEU30Y-FDS,TRYGB1M-FDS,TRYGB3M-FDS,TRYGB6M-FDS,TRYGB1Y-FDS,TRYGB2Y-FDS,TRYGB3Y-FDS,TRYGB4Y-FDS,TRYGB5Y-FDS,TRYGB6Y-FDS,TRYGB7Y-FDS,TRYGB8Y-FDS,TRYGB9Y-FDS,TRYGB10Y-FDS,TRYGB12Y-FDS,TRYGB15Y-FDS,TRYGB20Y-FDS,TRYGB25Y-FDS,TRYGB30Y-FDS,TRYGB50Y-FDS,TRYIN3M-FDS,TRYIN6M-FDS,TRYIN1Y-FDS,TRYIN2Y-FDS,TRYIN5Y-FDS,TRYIN7Y-FDS,TRYIN10Y-FDS,TRYIN11Y-FDS,TRYIN20Y-FDS,TRYIN25Y-FDS,TRYJP3M-FDS,TRYJP6M-FDS,TRYJP1Y-FDS,TRYJP2Y-FDS,TRYJP3Y-FDS,TRYJP4Y-FDS,TRYJP5Y-FDS,TRYJP6Y-FDS,TRYJP7Y-FDS,TRYJP8Y-FDS,TRYJP9Y-FDS,TRYJP10Y-FDS,TRYJP15Y-FDS,TRYJP20Y-FDS,TRYJP25Y-FDS,TRYJP30Y-FDS,TRYJP40Y-FDS,TRYMX1M-FDS,TRYMX3M-FDS,TRYMX6M-FDS,TRYMX1Y-FDS,TRYMX2Y-FDS,TRYMX3Y-FDS,TRYMX4Y-FDS,TRYMX5Y-FDS,TRYMX7Y-FDS,TRYMX10Y-FDS,TRYMX20Y-FDS,TRYMX30Y-FDS,TRYUS1M-FDS,TRYUS2M-FDS,TRYUS3M-FDS,TRYUS4M-FDS,TRYUS6M-FDS,TRYUS1Y-FDS,TRYUS2Y-FDS,TRYUS3Y-FDS,TRYUS5Y-FDS,TRYUS7Y-FDS,TRYUS10Y-FDS,TRYUS20Y-FDS,TRYUS30Y-FDS
Name,Australia Benchmark Bond - 1 Year,Australia Benchmark Bond - 2 Year,Australia Benchmark Bond - 3 Year,Australia Benchmark Bond - 4 Year,Australia Benchmark Bond - 5 Year,Australia Benchmark Bond - 7 Year,Australia Benchmark Bond - 9 Year,Australia Benchmark Bond - 10 Year,Australia Benchmark Bond - 15 Year,Australia Benchmark Bond - 20 Year,Australia Benchmark Bond - 30 Year,Brazil Benchmark Bill - 1 Month,Brazil Benchmark Bill - 3 Month,Brazil Benchmark Bill - 6 Month,Brazil Benchmark Bond - 1 Year,Brazil Benchmark Bond - 2 Year,Brazil Benchmark Bond - 3 Year,Brazil Benchmark Bond - 4 Year,Brazil Benchmark Bond - 5 Year,Brazil Benchmark Bond - 7 Year,Brazil Benchmark Bond - 10 Year,Canada Benchmark Bill - 1 Month,Canada Benchmark Bill - 3 Month,Canada Benchmark Bond - 1 Year,Canada Benchmark Bond - 2 Year,Canada Benchmark Bond - 3 Year,Canada Benchmark Bond - 4 Year,Canada Benchmark Bond - 5 Year,Canada Benchmark Bond - 6 Year,Canada Benchmark Bond - 7 Year,Canada Benchmark Bond - 8 Year,Canada Benchmark Bond - 9 Year,Canada Benchmark Bond - 10 Year,Canada Benchmark Bond - 20 Year,Canada Benchmark Bond - 30 Year,Switzerland Benchmark Bill - 1 Month,Switzerland Benchmark Bill - 3 Month,Switzerland Benchmark Bond - 1 Year,Switzerland Benchmark Bond - 2 Year,Switzerland Benchmark Bond - 3 Year,Switzerland Benchmark Bond - 4 Year,Switzerland Benchmark Bond - 5 Year,Switzerland Benchmark Bond - 7 Year,Switzerland Benchmark Bond - 10 Year,Switzerland Benchmark Bond - 20 Year,Switzerland Benchmark Bond - 30 Year,China Benchmark Bill - 1 Month,China Benchmark Bill - 3 Month,China Benchmark Bill - 6 Month,China Benchmark Bond - 1 Year,China Benchmark Bond - 2 Year,China Benchmark Bond - 3 Year,China Benchmark Bond - 4 Year,China Benchmark Bond - 5 Year,China Benchmark Bond - 7 Year,China Benchmark Bond - 10 Year,China Benchmark Bond - 20 Year,China Benchmark Bond - 30 Year,Euro Benchmark Bill - 1 Month,Euro Benchmark Bill - 3 Month,Euro Benchmark Bill - 6 Month,Euro Benchmark Bond - 1 Year,Euro Benchmark Bond - 2 Year,Euro Benchmark Bond - 3 Year,Euro Benchmark Bond - 4 Year,Euro Benchmark Bond - 5 Year,Euro Benchmark Bond - 6 Year,Euro Benchmark Bond - 7 Year,Euro Benchmark Bond - 8 Year,Euro Benchmark Bond - 9 Year,Euro Benchmark Bond - 10 Year,Euro Benchmark Bond - 15 Year,Euro Benchmark Bond - 20 Year,Euro Benchmark Bond - 25 Year,Euro Benchmark Bond - 30 Year,United Kingdom Benchmark Bill - 1 Month,United Kingdom Benchmark Bill - 3 Month,United Kingdom Benchmark Bill - 6 Month,United Kingdom Benchmark Bond - 1 Year,United Kingdom Benchmark Bond - 2 Year,United Kingdom Benchmark Bond - 3 Year,United Kingdom Benchmark Bond - 4 Year,United Kingdom Benchmark Bond - 5 Year,United Kingdom Benchmark Bond - 6 Year,United Kingdom Benchmark Bond - 7 Year,United Kingdom Benchmark Bond - 8 Year,United Kingdom Benchmark Bond - 9 Year,United Kingdom Benchmark Bond - 10 Year,United Kingdom Benchmark Bond - 12 Year,United Kingdom Benchmark Bond - 15 Year,United Kingdom Benchmark Bond - 20 Year,United Kingdom Benchmark Bond - 25 Year,United Kingdom Benchmark Bond - 30 Year,United Kingdom Benchmark Bond - 50 Year,India Benchmark Bill - 3 Month,India Benchmark Bill - 6 Month,India Benchmark Bond - 1 Year,India Benchmark Bond - 2 Year,India Benchmark Bond - 5 Year,India Benchmark Bond - 7 Year,India Benchmark Bond - 10 Year,India Benchmark Bond - 11 Year,India Benchmark Bond - 20 Year,India Benchmark Bond - 25 Year,Japan Benchmark Bill - 3 Month,Japan Benchmark Bill - 6 Month,Japan Benchmark Bond - 1 Year,Japan Benchmark Bond - 2 Year,Japan Benchmark Bond - 3 Year,Japan Benchmark Bond - 4 Year,Japan Benchmark Bond - 5 Year,Japan Benchmark Bond - 6 Year,Japan Benchmark Bond - 7 Year,Japan Benchmark Bond - 8 Year,Japan Benchmark Bond - 9 Year,Japan Benchmark Bond - 10 Year,Japan Benchmark Bond - 15 Year,Japan Benchmark Bond - 20 Year,Japan Benchmark Bond - 25 Year,Japan Benchmark Bond - 30 Year,Japan Benchmark Bond - 40 Year,Mexico Benchmark Bill - 1 Month,Mexico Benchmark Bill - 3 Month,Mexico Benchmark Bill - 6 Month,Mexico Benchmark Bond - 1 Year,Mexico Benchmark Bond - 2 Year,Mexico Benchmark Bond - 3 Year,Mexico Benchmark Bond - 4 Year,Mexico Benchmark Bond - 5 Year,Mexico Benchmark Bond - 7 Year,Mexico Benchmark Bond - 10 Year,Mexico Benchmark Bond - 20 Year,Mexico Benchmark Bond - 30 Year,US Benchmark Bill - 1 Month,United States Benchmark Bill - 2 Months,US Benchmark Bill - 3 Month,US Benchmark Bond - 4 Month,US Benchmark Bill - 6 Month,US Benchmark Bond - 1 Year,US Benchmark Bond - 2 Year,US Benchmark Bond - 3 Year,US Benchmark Bond - 5 Year,US Benchmark Bond - 7 Year,US Benchmark Bond - 10 Year,US Benchmark Bond - 20 Year,US Benchmark Bond - 30 Year
Type,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield,Yield
2005-04-29,#N/A,5.235,5.29,#N/A,5.32,#N/A,#N/A,5.35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.38,2.45,2.82,3.08,3.3,#N/A,3.54,#N/A,3.85,#N/A,#N/A,4.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9860873,2.0069747,2.0286832,2.08,2.25,2.46,2.65,2.76,2.98,3.12,3.24,3.35,3.452803,3.74,#N/A,#N/A,3.995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.4955,#N/A,#N/A,#N/A,#N/A,4.5214,#N/A,#N/A,4.4881,#N/A,#N/A,#N/A,5.1183,5.2901,#N/A,#N/A,#N/A,#N/A,7.412994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.145,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.65,#N/A,2.9,#N/A,3.08,3.33,3.653,3.73,3.9,4.03,4.21,#N/A,4.53
2005-05-31,#N/A,5.18,5.14,#N/A,5.135,#N/A,#N/A,5.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.38,2.43,2.73,2.91,3.1,#N/A,3.33,#N/A,3.63,#N/A,#N/A,3.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9729048,1.993334,2.0045183,2.04,2.19,2.37,2.54,2.62,2.85,2.98,3.1,3.2,3.29396,3.59,#N/A,#N/A,3.846,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.2508,#N/A,#N/A,#N/A,#N/A,4.32,#N/A,#N/A,4.3651,#N/A,#N/A,#N/A,5.2006,5.3746,#N/A,#N/A,#N/A,#N/A,6.999039,#N/A,#N/A,#N/A,#N/A,#N/A,0.007,0.077,0.186,0.326,0.463,0.614,0.777,0.954,1.115,1.262,1.583,1.938,2.158,2.295,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.73,#N/A,2.99,#N/A,3.09,3.32,3.597,3.65,3.76,3.86,4,#N/A,4.36
2005-06-30,#N/A,5.145,5.1,#N/A,5.1,#N/A,#N/A,5.105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.37,2.48,2.73,2.83,2.96,#N/A,3.16,#N/A,3.44,#N/A,#N/A,3.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.0022237,2.0026991,1.9969934,1.98,2.03,2.19,2.37,2.54,2.71,2.85,2.97,3.08,3.170682,3.47,#N/A,#N/A,3.709,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0792,#N/A,#N/A,#N/A,#N/A,4.1824,#N/A,#N/A,4.2336,#N/A,#N/A,#N/A,5.3241,5.6711,#N/A,#N/A,#N/A,#N/A,6.798,#N/A,#N/A,#N/A,#N/A,#N/A,0.009,0.07,0.139,0.27,0.406,0.548,0.703,0.868,1.023,1.174,1.486,1.858,2.082,2.218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.94,#N/A,3.13,#N/A,3.24,3.45,3.657,3.67,3.72,3.8,3.94,#N/A,4.19
