Date,WPUUSD,WPUEUR,WPUGBP,WPUAUD,WPUJPY,WPUCHF,WPUCAD,WPUCNY,WPUINR,WPUBRL,WPURUB,WPUMXN
1989-11-30,0.7907,0.6937,0.5042,1.0122,113.1182,1.2606,0.9199,,13.3399,0.0,,
1989-12-01,0.79,0.6938,0.5051,1.0125,113.1698,1.2627,0.9222,,13.3268,0.0,,
1989-12-04,0.7898,0.6918,0.5055,1.0112,113.4541,1.2637,0.9197,,13.3547,0.0,,
1989-12-05,0.7909,0.6919,0.5047,1.0146,113.94,1.2567,0.9195,,13.3523,0.0,,
1989-12-06,0.7905,0.6904,0.5045,1.0149,114.4042,1.2612,0.9191,,13.3635,0.0,,
1989-12-07,0.7916,0.6885,0.5017,1.0103,114.0888,1.2592,0.9198,,13.3073,0.0,,
1989-12-08,0.7913,0.689,0.5007,1.0098,114.0281,1.2668,0.9191,,13.2987,0.0,,
1989-12-11,0.7923,0.6878,0.4986,1.0103,114.5327,1.2665,0.9208,,13.2617,0.0,,
1989-12-12,0.7968,0.6811,0.4978,1.0143,114.8303,1.2595,0.9274,,13.3827,0.0,,
1989-12-13,0.801,0.6809,0.499,1.0137,114.6653,1.2426,0.9292,,13.4742,0.0,,
1989-12-14,0.7979,0.683,0.4994,1.0158,114.9461,1.2436,0.9273,,13.4999,0.0,,
1989-12-15,0.7996,0.6839,0.4976,1.0173,115.1739,1.239,0.9287,,13.5191,0.0,,
1989-12-18,0.7994,0.6813,0.499,1.0214,115.1718,1.2376,0.9277,,13.5332,0.0,,
1989-12-19,0.7973,0.682,0.498,1.0182,115.0351,1.24,0.9247,,13.5309,0.0,,
1989-12-20,0.7969,0.6837,0.4976,1.0132,114.7099,1.2451,0.9263,,13.4891,0.0,,
1989-12-21,0.7997,0.68,0.4961,1.0167,114.9145,1.244,0.9268,,13.5303,0.0,,
1989-12-22,0.8033,0.6759,0.4951,1.0166,114.5796,1.2427,0.9304,,13.7723,0.0,,
1989-12-27,0.8061,0.674,0.4963,1.0098,114.541,1.2357,0.9342,,13.603,0.0,,
1989-12-28,0.8025,0.6743,0.4987,1.011,115.1304,1.2357,0.9279,,13.566,0.0,,
1989-12-29,0.8011,0.6719,0.4968,1.0143,115.2235,1.237,0.9278,,13.3903,0.0,,
1990-01-02,0.7958,0.6726,0.4938,1.0137,116.3197,1.2494,0.9223,,13.4961,0.0,,
1990-01-03,0.7957,0.6743,0.4938,1.015,115.6052,1.2542,0.9246,,13.4853,0.0,,
1990-01-04,0.8027,0.6732,0.4941,1.0241,115.4808,1.2403,0.9322,,13.6383,0.0,,
1990-01-05,0.8054,0.6685,0.4922,1.0253,115.8472,1.2402,0.935,,13.6375,0.0,,
1990-01-08,0.8071,0.668,0.4896,1.031,116.5784,1.235,0.936,,13.6935,0.0,,
1990-01-09,0.8059,0.6684,0.4874,1.0249,117.0476,1.23,0.936,,13.6416,0.0,,
1990-01-10,0.808,0.6682,0.4862,1.0245,117.1695,1.2234,0.9361,,13.6617,0.0,,
1990-01-11,0.8077,0.6702,0.4874,1.0202,117.4391,1.2244,0.9343,,13.6678,0.0,,
1990-01-12,0.8093,0.67,0.4855,1.0224,117.9294,1.2138,0.9355,,13.7392,0.0,,
1990-01-15,0.8087,0.6724,0.4856,1.0183,117.3159,1.2188,0.9376,,13.6642,0.0,,
1990-01-16,0.8052,0.6734,0.4864,1.0201,117.145,1.2222,0.9378,,13.6616,0.0,,
1990-01-17,0.8064,0.6699,0.4876,1.0145,116.9827,1.2124,0.9387,,13.6373,0.0,,
1990-01-18,0.8029,0.6729,0.4875,1.0103,117.1645,1.2178,0.9401,,13.6114,0.0,,
1990-01-19,0.8015,0.6744,0.4877,1.0126,116.9915,1.2187,0.946,,13.6211,0.0,,
1990-01-22,0.7999,0.6764,0.4875,1.0046,116.9988,1.2248,0.9443,,13.6,0.0,,
1990-01-23,0.8007,0.6717,0.4885,1.0388,117.6749,1.2148,0.9444,,13.6908,0.0,,
1990-01-24,0.8081,0.6669,0.4874,1.0606,117.1968,1.2038,0.9575,,13.6901,0.0,,
1990-01-25,0.8066,0.67,0.4875,1.0652,116.5693,1.2034,0.9584,,13.6177,0.0,,
1990-01-26,0.8096,0.6697,0.4873,1.0647,115.7677,1.2074,0.9665,,13.6498,0.0,,
1990-01-29,0.8123,0.6655,0.4842,1.065,116.3628,1.2072,0.9641,,14.1828,0.0,,
1990-01-30,0.8117,0.6627,0.4822,1.0605,116.817,1.2085,0.9658,,13.8958,0.0,,
1990-01-31,0.8098,0.6619,0.4816,1.0592,116.8677,1.2168,0.9627,,13.7253,0.0,,
1990-02-01,0.8079,0.667,0.4805,1.0514,117.3058,1.2114,0.9604,,13.7218,0.0,,
1990-02-02,0.8081,0.667,0.4807,1.0447,117.6497,1.2111,0.9588,,13.7057,0.0,,
1990-02-05,0.8108,0.6655,0.4793,1.0613,118.206,1.2028,0.9639,,13.7715,0.0,,
1990-02-06,0.8137,0.6629,0.4778,1.06,118.2127,1.2021,0.9665,,13.7708,0.0,,
1990-02-07,0.813,0.6611,0.4781,1.0732,118.1514,1.2036,0.9699,,13.7604,0.0,,
1990-02-08,0.8099,0.664,0.4794,1.0716,117.5505,1.2066,0.9695,,13.7057,0.0,,
1990-02-09,0.8087,0.6653,0.4783,1.0787,117.5216,1.2086,0.9658,,13.7116,0.0,,
1990-02-12,0.8095,0.6637,0.4774,1.0767,116.8661,1.2121,0.9724,,13.7567,0.0,,
1990-02-13,0.8067,0.6655,0.4788,1.077,116.8036,1.212,0.967,,13.7357,0.0,,
1990-02-14,0.8089,0.6645,0.4772,1.0857,116.924,1.2079,0.9762,,13.7297,0.0,,
1990-02-15,0.8079,0.6657,0.4769,1.0768,116.7412,1.2093,0.9734,,13.7073,0.0,,
1990-02-16,0.808,0.6669,0.4778,1.0713,116.7226,1.2094,0.9666,,13.6137,0.0,,
1990-02-19,0.8107,0.665,0.4756,1.0644,117.1636,1.2055,0.9716,,13.7453,0.0,,
1990-02-20,0.8101,0.665,0.4752,1.066,117.8683,1.2022,0.9727,,13.7584,0.0,,
1990-02-21,0.8118,0.6641,0.4741,1.0668,117.9883,1.1974,0.9753,,13.8001,0.0,,
1990-02-22,0.8109,0.6636,0.4741,1.0624,118.5152,1.1966,0.968,,13.8091,0.0,,
1990-02-23,0.8097,0.6643,0.4741,1.0561,118.9125,1.1946,0.9713,,13.7714,0.0,,
1990-02-26,0.8065,0.6637,0.475,1.0511,119.6154,1.1922,0.9628,,13.7028,0.0,,
1990-02-27,0.8036,0.6637,0.4761,1.0589,119.7458,1.1949,0.9585,,13.7394,0.0,,
1990-02-28,0.8028,0.6652,0.4757,1.0574,119.6635,1.1988,0.9563,,13.7193,0.0,,
1990-03-01,0.7998,0.6676,0.4795,1.0455,119.2999,1.1988,0.9512,,13.6184,0.0,,
1990-03-02,0.7988,0.6666,0.4817,1.0464,119.3669,1.1971,0.953,,13.5841,0.0,,
1990-03-05,0.7972,0.671,0.4849,1.0465,118.7455,1.1894,0.9499,,13.5231,0.0,,
1990-03-06,0.7982,0.6639,0.4836,1.048,119.5485,1.1945,0.9466,,13.6088,0.0,,
1990-03-07,0.7947,0.6643,0.4843,1.045,120.0912,1.1962,0.9419,,13.5307,0.0,,
1990-03-08,0.795,0.6619,0.4842,1.0456,120.0397,1.2008,0.9376,,13.5669,0.0,,
1990-03-09,0.7934,0.661,0.4896,1.0405,119.7437,1.1946,0.9348,,13.5273,0.0,,
1990-03-12,0.7896,0.6615,0.4901,1.0408,120.2215,1.2008,0.9311,,13.4783,0.0,,
1990-03-13,0.7863,0.6626,0.4913,1.0342,120.1381,1.2036,0.9252,,13.4507,0.0,,
1990-03-14,0.788,0.6627,0.4905,1.034,120.1174,1.2017,0.9245,,13.4837,0.0,,
1990-03-15,0.7862,0.6607,0.4886,1.0469,120.863,1.2047,0.9273,,13.4938,0.0,,
1990-03-16,0.7928,0.6583,0.4874,1.05,120.2982,1.1942,0.9362,,13.5062,0.0,,
1990-03-19,0.7926,0.6548,0.4897,1.0458,121.0575,1.19,0.9384,,13.4764,0.0,,
1990-03-20,0.7911,0.6564,0.4887,1.0415,120.9288,1.1923,0.9335,,13.4577,0.0,,
1990-03-21,0.7837,0.6595,0.4921,1.0444,121.3414,1.1958,0.9231,,13.4539,0.0,,
1990-03-22,0.7841,0.6578,0.491,1.0478,122.001,1.1931,0.9248,,13.4777,0.0,,
1990-03-23,0.7862,0.6596,0.4903,1.0503,121.3494,1.1914,0.9252,,13.4931,0.0,,
1990-03-26,0.7835,0.6574,0.4859,1.0506,122.4188,1.1953,0.9206,,13.4882,0.0,,
1990-03-27,0.7841,0.6573,0.4826,1.0518,123.3448,1.1919,0.9222,,13.4969,0.0,,
1990-03-28,0.7853,0.6555,0.4813,1.0513,124.4727,1.1889,0.9237,,13.4773,0.0,,
1990-03-29,0.7879,0.6552,0.4831,1.0486,123.6467,1.1835,0.9252,,13.5399,0.0,,
1990-03-30,0.7898,0.6521,0.4797,1.0458,124.9423,1.18,0.9248,,13.584,0.0,,
1990-04-02,0.7866,0.6544,0.4814,1.038,124.7406,1.1843,0.9198,,13.4846,0.0,,
1990-04-03,0.7871,0.6544,0.4815,1.0352,125.496,1.1797,0.9176,,13.7265,0.0,,
1990-04-04,0.7895,0.6528,0.4804,1.0274,124.7117,1.1868,0.9219,,13.5788,0.0,,
1990-04-05,0.789,0.6549,0.4804,1.0314,124.3868,1.1817,0.9222,,13.532,0.0,,
1990-04-06,0.7887,0.6538,0.4813,1.0302,123.9816,1.1841,0.9188,,13.5845,0.0,,
1990-04-09,0.7889,0.6513,0.4815,1.0303,124.452,1.1796,0.9171,,13.5247,0.0,,
1990-04-10,0.7873,0.6503,0.4814,1.0296,124.8321,1.1787,0.9149,,13.4846,0.0,,
1990-04-11,0.7902,0.6477,0.4802,1.0298,124.8331,1.1714,0.9204,,13.6094,0.0,,
1990-04-12,0.7898,0.6463,0.4807,1.0302,124.8796,1.173,0.9195,,13.6143,0.0,,
1990-04-17,0.7866,0.6467,0.4827,1.0275,125.9712,1.173,0.9189,,13.6219,0.0,,
1990-04-18,0.7894,0.6455,0.4822,1.0248,125.6286,1.1718,0.9167,,13.6464,0.0,,
1990-04-19,0.7912,0.6484,0.4814,1.0225,123.7024,1.1746,0.919,,13.6666,0.0,,
1990-04-20,0.7888,0.6506,0.482,1.0228,124.0814,1.1761,0.9172,,13.6647,0.0,,
1990-04-23,0.7884,0.6505,0.4819,1.0295,124.3329,1.1778,0.9153,,13.679,0.0,,
1990-04-24,0.7881,0.6529,0.4822,1.0283,125.0269,1.1716,0.9136,,13.669,0.0,,
1990-04-25,0.7905,0.6506,0.4832,1.032,125.5924,1.1597,0.9176,,13.7088,0.0,,
1990-04-26,0.7901,0.6512,0.4837,1.0447,125.1646,1.156,0.9165,,13.7363,0.0,,
1990-04-27,0.7906,0.6481,0.4836,1.0541,125.9177,1.1509,0.9195,,13.7523,0.0,,
1990-04-30,0.7907,0.6498,0.4833,1.0549,125.6745,1.1487,0.9217,,13.6529,0.0,,
1990-05-01,0.791,0.6507,0.4826,1.0604,125.4729,1.1515,0.9213,,13.7398,0.0,,
1990-05-02,0.7918,0.6514,0.4822,1.0529,125.1122,1.1526,0.9236,,13.7722,0.0,,
1990-05-03,0.7928,0.65,0.4824,1.0491,125.2413,1.1528,0.9251,,13.7522,0.0,,
1990-05-04,0.7948,0.6477,0.4789,1.0513,125.9629,1.1495,0.9248,,13.626,0.0,,
1990-05-08,0.7978,0.6459,0.4775,1.0526,125.7431,1.1459,0.9281,,13.8272,0.0,,
1990-05-09,0.8035,0.6452,0.4786,1.0589,125.8552,1.1294,0.9367,,13.9073,0.0,,
1990-05-10,0.8036,0.6458,0.4799,1.0606,126.3794,1.123,0.9361,,13.9227,0.0,,
1990-05-11,0.8085,0.6462,0.481,1.0654,123.6098,1.1255,0.9519,,13.9776,0.0,,
1990-05-14,0.8082,0.6497,0.4806,1.0541,123.516,1.1276,0.9498,,13.9814,0.0,,
1990-05-15,0.8079,0.6522,0.4823,1.057,121.8562,1.1335,0.9543,,13.9972,0.0,,
1990-05-16,0.8092,0.6494,0.4816,1.0601,122.6992,1.131,0.9519,,13.9842,0.0,,
1990-05-17,0.8081,0.6501,0.4784,1.0623,123.1409,1.1357,0.9485,,13.9603,0.0,,
1990-05-18,0.8077,0.6498,0.4778,1.0631,123.5254,1.1347,0.9505,,13.9422,0.0,,
1990-05-21,0.8057,0.6507,0.4763,1.0539,123.4552,1.1458,0.9491,,13.9131,0.0,,
1990-05-22,0.8061,0.655,0.4768,1.0516,122.2497,1.1432,0.9579,,13.9383,0.0,,
1990-05-23,0.8069,0.6547,0.4766,1.0541,122.0462,1.1391,0.9566,,13.9433,0.0,,
1990-05-24,0.8056,0.6541,0.4761,1.0566,122.0146,1.1427,0.9547,,13.9365,0.0,,
